date,count,lcount,,
2023-04-01,1248,7.1293,#VALUE!,#REF!
2023-04-02,1291,7.1632,0.0339,#REF!
2023-04-03,1507,7.3179,0.1547,#VALUE!
2023-04-04,1683,7.4283,0.1105,#VALUE!
2023-04-05,1700,7.4384,0.0101,0.0616
2023-04-06,1755,7.4702,0.0318,0.0569
2023-04-07,1920,7.5601,0.0899,0.0284
2023-04-08,1921,7.5606,0.0005,0.0099
2023-04-09,1923,7.5616,0.0010,0.0171
2023-04-10,1838,7.5164,-0.0452,0.0217
2023-04-11,1804,7.4978,-0.0187,0.0060
2023-04-12,1916,7.5580,0.0602,0.0091
2023-04-13,2043,7.6222,0.0642,0.0079
2023-04-14,2002,7.6019,-0.0203,0.0205
2023-04-15,2048,7.6246,0.0227,0.0227
2023-04-16,2033,7.6173,-0.0074,0.0103
2023-04-17,2121,7.6596,0.0424,-0.0006
2023-04-18,2114,7.6563,-0.0033,-0.0002
2023-04-19,2059,7.6300,-0.0264,-0.0022
2023-04-20,2034,7.6178,-0.0122,0.0003
2023-04-21,1999,7.6004,-0.0174,-0.0035
2023-04-22,2016,7.6089,0.0085,0.0036
2023-04-23,2037,7.6192,0.0104,0.0122
2023-04-24,2069,7.6348,0.0156,0.0162
2023-04-25,2168,7.6816,0.0467,0.0281
2023-04-26,2242,7.7151,0.0336,0.0243
2023-04-27,2279,7.7315,0.0164,0.0285
2023-04-28,2433,7.7969,0.0654,0.0300
2023-04-29,2390,7.7790,-0.0178,0.0234
2023-04-30,2486,7.8184,0.0394,0.0095
2023-05-01,2552,7.8446,0.0262,-0.0042
2023-05-02,2554,7.8454,0.0008,-0.0252
2023-05-03,2397,7.7820,-0.0634,-0.0135
2023-05-04,2213,7.7021,-0.0799,-0.0072
2023-05-05,2039,7.6202,-0.0819,-0.0020
2023-05-06,2174,7.6843,0.0641,0.0027
2023-05-07,2364,7.7681,0.0838,0.0259
2023-05-08,2517,7.8308,0.0627,0.0443
2023-05-09,2603,7.8644,0.0336,0.0699
2023-05-10,2873,7.9631,0.0987,0.0604
2023-05-11,3017,8.0120,0.0489,0.0353
2023-05-12,3326,8.1095,0.0975,0.0342
2023-05-13,3319,8.1074,-0.0021,0.0356
2023-05-14,3026,8.0150,-0.0924,0.0266
2023-05-15,3197,8.0700,0.0550,0.0261
2023-05-16,3339,8.1134,0.0435,0.0165
2023-05-17,3461,8.1493,0.0359,0.0231
2023-05-18,3621,8.1945,0.0452,0.0372
2023-05-19,3733,8.2250,0.0305,0.0393
2023-05-20,3902,8.2692,0.0443,0.0338
2023-05-21,3926,8.2754,0.0061,0.0312
2023-05-22,4210,8.3452,0.0698,0.0260
2023-05-23,4231,8.3502,0.0050,0.0277
2023-05-24,4306,8.3678,0.0176,0.0222
2023-05-25,4343,8.3763,0.0086,0.0229
2023-05-26,4532,8.4189,0.0426,0.0156
2023-05-27,4559,8.4249,0.0059,0.0249
2023-05-28,4609,8.4358,0.0109,0.0284
2023-05-29,4695,8.4543,0.0185,0.0262
2023-05-30,5036,8.5244,0.0701,0.0235
2023-05-31,5252,8.5664,0.0420,0.0270
2023-06-01,5218,8.5599,-0.0065,0.0310
