year,week,date_start,date_end,y,count,lcount,
2022,40,2022-10-03,2022-10-09,529.5,3.94,1.3712,
2022,41,2022-10-10,2022-10-16,530.0,3.93,1.3686,-0.0004
2022,42,2022-10-17,2022-10-23,526.0,4.13,1.4183,0.0071
2022,43,2022-10-24,2022-10-30,515.5,4.69,1.5454,0.0182
2022,44,2022-10-31,2022-11-06,473.0,6.93,1.9359,0.0558
2022,45,2022-11-07,2022-11-13,439.5,8.70,2.1633,0.0325
2022,46,2022-11-14,2022-11-20,402.0,10.67,2.3674,0.0292
2022,47,2022-11-21,2022-11-27,383.0,11.65,2.4553,0.0126
2022,48,2022-11-28,2022-12-04,343.0,13.75,2.6210,0.0237
2022,49,2022-12-05,2022-12-11,304.0,15.82,2.7613,0.0200
2022,50,2022-12-12,2022-12-18,256.5,18.32,2.9080,0.0210
2022,51,2022-12-19,2022-12-25,228.5,19.78,2.9847,0.0110
2022,52,2022-12-26,2023-01-01,355.0,13.13,2.5749,-0.0585
2023,1,2023-01-02,2023-01-08,405.5,10.46,2.3476,-0.0325
2023,2,2023-01-09,2023-01-15,421.0,9.67,2.2690,-0.0112
2023,3,2023-01-16,2023-01-22,448.5,8.22,2.1066,-0.0232
2023,4,2023-01-23,2023-01-29,495.0,5.77,1.7527,-0.0506
2023,5,2023-01-30,2023-02-05,534.5,3.68,1.3029,-0.0643
2023,6,2023-02-06,2023-02-12,562.5,2.24,0.8065,-0.0709
2023,7,2023-02-13,2023-02-19,574.0,1.61,0.4762,-0.0472
2023,8,2023-02-20,2023-02-26,587.5,0.91,-0.0943,-0.0815
2023,9,2023-02-27,2023-03-05,589.0,0.83,-0.1863,-0.0131
2023,10,2023-03-06,2023-03-12,590.0,0.76,-0.2744,-0.0126
2023,11,2023-03-13,2023-03-19,593.5,0.59,-0.5276,-0.0362
2023,12,2023-03-20,2023-03-26,593.0,0.61,-0.4943,0.0048
2023,13,2023-03-27,2023-04-02,589.5,0.81,-0.2107,0.0405
2023,14,2023-04-03,2023-04-09,584.0,1.10,0.0953,0.0437
2023,15,2023-04-10,2023-04-16,583.0,1.13,0.1222,0.0038
2023,16,2023-04-17,2023-04-23,577.5,1.43,0.3577,0.0336
2023,17,2023-04-24,2023-04-30,576.5,1.49,0.3988,0.0059
2023,18,2023-05-01,2023-05-07,578.0,1.41,0.3436,-0.0079
2023,19,2023-05-08,2023-05-14,559.0,2.40,0.8755,0.0760
2023,20,2023-05-15,2023-05-21,,3.53,1.2613,0.0551
2023,21,2023-05-22,2023-05-28,,3.96,1.3762,0.0164
